date,rank,full_name,description,html_url,stars,forks,open_issues,language,created_at,pushed_at,owner
2026-09-20,1,browser-use/jev-ultrafast,i. am. speed.,https://github.com/browser-use/jev-ultrafast,8594,540,56,Python,2026-09-16T21:30:12Z,2026-09-18T16:28:35Z,browser-use
2026-09-20,2,tamaratran/fast-jev-compaction,"Claude Code plugin that replaces the compaction summary with Jev decisions: every tool call and result is scored in one fast request, stale ones are dropped or truncated, everything kept stays verbatim.",https://github.com/tamaratran/fast-jev-compaction,4274,228,48,TypeScript,2026-09-17T05:57:20Z,2026-09-18T04:45:31Z,tamaratran
2026-09-20,3,robbietilton/Compositor,The Photoshop alternative for Mac,https://github.com/robbietilton/Compositor,2518,270,28,Swift,2026-09-16T20:35:54Z,2026-09-18T13:45:46Z,robbietilton
2026-09-20,4,TheoLeeCJ/SemIf,"Semantic ifs from open models, on a 3090 at home. Independent; not affiliated with Jev or TypeSafe.",https://github.com/TheoLeeCJ/SemIf,1952,122,6,Python,2026-09-16T03:51:21Z,2026-09-19T04:46:36Z,TheoLeeCJ
2026-09-20,5,mcncarl/jianying-headless,"Private source preview: native Jianying drafts, isolated editing/export, and standalone Agent Skill.",https://github.com/mcncarl/jianying-headless,1567,662,7,Python,2026-09-15T11:51:15Z,2026-09-19T02:42:58Z,mcncarl
2026-09-20,6,NandhaKishorM/laya,,https://github.com/NandhaKishorM/laya,1337,113,13,Python,2026-09-18T04:46:33Z,2026-09-20T01:33:27Z,NandhaKishorM
2026-09-20,7,jarrodwatts/jev-trader,One AI trade decision every Monad block. Jev on Kuru MON-USDC.,https://github.com/jarrodwatts/jev-trader,1285,252,3,TypeScript,2026-09-16T21:36:20Z,2026-09-17T02:48:22Z,jarrodwatts
2026-09-20,8,vinnylarouge/jevlike,,https://github.com/vinnylarouge/jevlike,989,83,4,Python,2026-09-16T10:26:01Z,2026-09-16T18:12:53Z,vinnylarouge
2026-09-20,9,TianyuCodings/NanoJev,"A nano replica of Jev: parallel decisions, dynamic candidates, and an end-to-end training pipeline.",https://github.com/TianyuCodings/NanoJev,915,123,5,Python,2026-09-17T16:08:30Z,2026-09-17T23:24:13Z,TianyuCodings
2026-09-20,10,korcarc/text-humanizer,"text-humanizer is an open-source project designed to convert text generated by AI to its ""humanized"" version. Bypasses the most of AI detectors such as Turnitin or GPTZero",https://github.com/korcarc/text-humanizer,729,83,0,Python,2026-09-16T13:21:56Z,2026-09-19T20:43:14Z,korcarc
2026-09-20,11,nilbuild/page-mascot,A mascot that watches the cursor and blinks when you poke it,https://github.com/nilbuild/page-mascot,728,70,1,Python,2026-09-14T06:55:59Z,2026-09-15T10:07:44Z,nilbuild
2026-09-20,12,theoephraim/awesome-cloudflare-selfhosted,"🍊☁️ Open-source* apps that replace a SaaS product, running in your own Cloudflare account",https://github.com/theoephraim/awesome-cloudflare-selfhosted,675,42,7,JavaScript,2026-09-15T09:39:14Z,2026-09-16T22:06:09Z,theoephraim
2026-09-20,13,jackwener/wx-cli-again,WeChat local data CLI (query/decrypt/export) — fresh start from wx-cli,https://github.com/jackwener/wx-cli-again,615,1510,0,Rust,2026-09-14T07:43:27Z,2026-09-14T07:43:38Z,jackwener
2026-09-20,14,saragordic/window-sweaters,A macOS menu-bar app that dresses your windows in knitted borders.,https://github.com/saragordic/window-sweaters,595,16,5,C,2026-09-15T01:51:36Z,2026-09-18T21:31:43Z,saragordic
2026-09-20,15,arvindear/wp2shell-PoC,CVE-2026-63030 & CVE-2026-60137 RCE chain proof-of-concept,https://github.com/arvindear/wp2shell-PoC,562,53,0,Python,2026-09-18T16:35:32Z,2026-09-19T20:37:40Z,arvindear
2026-09-20,16,yynxxxxx/gpt_sub_analysis,"Security analysis of the ChatGPT iOS subscription / entitlement flow (internal draft, coordinated disclosure WIP)",https://github.com/yynxxxxx/gpt_sub_analysis,543,295,11,,2026-09-17T13:43:00Z,2026-09-18T12:00:04Z,yynxxxxx
2026-09-20,17,jaredpalmer/kev,tiny Jev-like model built on top of Qwen2.5-0.5B you can train and run on your MacBook,https://github.com/jaredpalmer/kev,540,32,2,Python,2026-09-17T20:49:39Z,2026-09-19T23:56:30Z,jaredpalmer
2026-09-20,18,letorig/video-generator-client,"Async Python wrapper for Seedance, Kling, MiniMax and Wan video generation. Supports CLI and a local web UI",https://github.com/letorig/video-generator-client,536,84,1,Python,2026-09-14T17:46:01Z,2026-09-19T20:34:10Z,letorig
2026-09-20,19,ctdal/cve-2026-41940-PoC,A cPanel and WHM authentication bypassing tool,https://github.com/ctdal/cve-2026-41940-PoC,526,54,0,Python,2026-09-16T13:47:39Z,2026-09-19T20:38:03Z,ctdal
2026-09-20,20,awlevin/typesafe-computer-use,"Computer use for about $0.0002 a step: OCR the screen, classify the next action with TypeSafe, click. macOS.",https://github.com/awlevin/typesafe-computer-use,519,31,7,Python,2026-09-16T17:48:45Z,2026-09-18T23:33:50Z,awlevin
2026-09-20,21,bespokelabsai/nimble,"Local typed decisions, contrastive data curation, and model evaluation.",https://github.com/bespokelabsai/nimble,480,36,3,Python,2026-09-18T09:07:48Z,2026-09-20T00:46:13Z,bespokelabsai
2026-09-20,22,Continuum-AI-Corp/OrcaBonsai-27B-Uncensored,Runtime behavioral ablation for compressed LLMs. First target: Ternary Bonsai 2 27B — no weight modification or re-quantization. by OrcaRouter team,https://github.com/Continuum-AI-Corp/OrcaBonsai-27B-Uncensored,467,53,2,Python,2026-09-18T06:45:54Z,2026-09-18T12:58:46Z,Continuum-AI-Corp
2026-09-20,23,githubnext/localjev,,https://github.com/githubnext/localjev,427,26,0,TypeScript,2026-09-18T16:59:55Z,2026-09-18T20:19:02Z,githubnext
